date,title,link,href
2023/05/11,新型コロナウイルス感染症対策における組合の対応について,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=131327&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=131327&page=1'>新型コロナウイルス感染症対策における組合の対応について</a>
2023/05/11,「東実総合健診センター」受診に関するお知らせ,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=131324&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=131324&page=1'>「東実総合健診センター」受診に関するお知らせ</a>
2023/05/08,東京実業健康保険組合診療所からのお知らせ,https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/shinryojyo2023.pdf,<a href='https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/shinryojyo2023.pdf'>東京実業健康保険組合診療所からのお知らせ</a>
2024/01/05,令和６年能登半島地震にかかる災害救助法の適用について,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=141468&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=141468&page=1'>令和６年能登半島地震にかかる災害救助法の適用について</a>
2024/01/05,令和6年能登半島地震の影響による「健保だより2024.1月号」配送遅延のお知らせ,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=141381&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=141381&page=1'>令和6年能登半島地震の影響による「健保だより2024.1月号」配送遅延のお知らせ</a>
2024/01/05,資格取得届等の届出は住民票上の住所を記載してください,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=141124&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=141124&page=1'>資格取得届等の届出は住民票上の住所を記載してください</a>
2024/01/01,ベルビュー南熱海の食事選択について,https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/bell2312-2.pdf,<a href='https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/bell2312-2.pdf'>ベルビュー南熱海の食事選択について</a>
2023/12/28,令和5年10月20日に厚生労働省から示された「社会保険適用促進手当」および「事業主の証明による被扶養者認定」のＱ＆Ａが改正されました,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=141227&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=141227&page=1'>令和5年10月20日に厚生労働省から示された「社会保険適用促進手当」および「事業主の証明による被扶養者認定」のＱ＆Ａが改正されました</a>
2023/12/28,～現地からの耳寄り情報【サンライズ熱海】～◆季節のご夕食メニュー（1月・2月）のご紹介◆,https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/sunrise2312-2.pdf,<a href='https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/sunrise2312-2.pdf'>～現地からの耳寄り情報【サンライズ熱海】～◆季節のご夕食メニュー（1月・2月）のご紹介◆</a>
2023/12/28,～現地からの耳寄り情報【ベルビュー南熱海】～◆季節のご夕食メニュー（1月・2月）のご紹介◆,https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/bellevue2312-2.pdf,<a href='https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/bellevue2312-2.pdf'>～現地からの耳寄り情報【ベルビュー南熱海】～◆季節のご夕食メニュー（1月・2月）のご紹介◆</a>
2023/12/28,～現地からの耳寄り情報【かまくら味彩館】～◆季節のご夕食メニュー（1月・2月）のご紹介◆,https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/ajisaikan2312-2.pdf,<a href='https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/ajisaikan2312-2.pdf'>～現地からの耳寄り情報【かまくら味彩館】～◆季節のご夕食メニュー（1月・2月）のご紹介◆</a>
2023/12/25,「医療費のお知らせ」を更新しました（９月診療分）,https://www.tojitsu-kenpo.or.jp/member/outline/expence.html,<a href='https://www.tojitsu-kenpo.or.jp/member/outline/expence.html'>「医療費のお知らせ」を更新しました（９月診療分）</a>
2023/12/20,セントラルスポーツからのお知らせ,https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/2312-central.pdf,<a href='https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/2312-central.pdf'>セントラルスポーツからのお知らせ</a>
2023/12/16,令和５年度　第１１回ミニマラソン大会のお知らせ（主催：東京実業健康保険組合） 【申込受付は終了いたしました】,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138363&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138363&page=1'>令和５年度　第１１回ミニマラソン大会のお知らせ（主催：東京実業健康保険組合） 【申込受付は終了いたしました】</a>
2023/12/15,令和６年度「東振協 特定健診Ｅ区分【会場健診】」の実施について,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139706&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139706&page=1'>令和６年度「東振協 特定健診Ｅ区分【会場健診】」の実施について</a>
2023/12/15,令和６年度 直営保養所の申込み・利用について,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139716&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139716&page=1'>令和６年度 直営保養所の申込み・利用について</a>
2023/12/15,家庭版健保だより『いきいきNo.５６（冬号）』をアップしました！,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139724&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139724&page=1'>家庭版健保だより『いきいきNo.５６（冬号）』をアップしました！</a>
2023/12/15,スポーツ施設「ルネサンス」キャンペーンのご案内,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139717&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139717&page=1'>スポーツ施設「ルネサンス」キャンペーンのご案内</a>
2023/12/15,契約健診(医療)機関の新規契約について,https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/2312-kenshin.pdf,<a href='https://www.tojitsu-kenpo.or.jp/UploadedFiles/new%20topi/2312-kenshin.pdf'>契約健診(医療)機関の新規契約について</a>
2023/12/06,東振協主催「Ｗｅｂによる介護・健康講座」開催のお知らせ,https://www.tojitsu-kenpo.or.jp/UploadedFiles/kenpo-dayori/2312-P9.pdf,<a href='https://www.tojitsu-kenpo.or.jp/UploadedFiles/kenpo-dayori/2312-P9.pdf'>東振協主催「Ｗｅｂによる介護・健康講座」開催のお知らせ</a>
2023/12/06,《東振協主催》第３２回東京総合健保ミニマラソン大会開催のご案内,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139221&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139221&page=1'>《東振協主催》第３２回東京総合健保ミニマラソン大会開催のご案内</a>
2023/12/06,ゴールデンウィークの直営保養所のお知らせ,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139193&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139193&page=1'>ゴールデンウィークの直営保養所のお知らせ</a>
2023/12/06,「健保だより12月号」をアップしました！,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139588&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139588&page=1'>「健保だより12月号」をアップしました！</a>
2023/12/06,春の婦人生活習慣病予防健診 《会場型》 のお知らせ,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139191&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139191&page=1'>春の婦人生活習慣病予防健診 《会場型》 のお知らせ</a>
2023/12/06,保険料の納期内納入および賞与支払届提出のお願い,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139263&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=139263&page=1'>保険料の納期内納入および賞与支払届提出のお願い</a>
2023/11/15,「被扶養者資格の再確認（検認）」を実施します,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138682&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138682&page=1'>「被扶養者資格の再確認（検認）」を実施します</a>
2023/11/15,『ジェネリック医薬品のお知らせ（差額通知）』実施します！,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138676&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138676&page=1'>『ジェネリック医薬品のお知らせ（差額通知）』実施します！</a>
2023/11/15,機関誌等のメール配信のご案内,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138680&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138680&page=1'>機関誌等のメール配信のご案内</a>
2023/11/15,「禁煙サポート」事業のご案内,https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138677&page=1,<a href='https://www.tojitsu-kenpo.or.jp/asp/news/news.asp?articleid=138677&page=1'>「禁煙サポート」事業のご案内</a>
